,Precision,Recall,F1,Specificity,Accuracy,MCC,AUPRC,AUROC,method,dataset
31,0.23438941864041835,0.594383775351014,0.3362011912640635,0.7252304465419219,0.709008268458972,0.22687255637197365,0.2801361129812308,0.7249310621538952,DeepPromise,HEK293 SYSY
32,0.5558131241084165,0.7353149327671621,0.6330862191530416,0.9150409276944066,0.8923388658780059,0.5791113433713583,0.7249571558166312,0.9417364283192484,deepSRAMP_Single,MOLM13
33,0.23226479514415782,0.5777305968388771,0.3313265237096665,0.7239085948158254,0.7054441431508687,0.21587048700959527,0.2640063845074734,0.7120471064342121,DP-oh,MOLM13
34,0.23220864843901493,0.5649917433356924,0.32914175771318627,0.7299113233287858,0.7090795315712626,0.21233160434609724,0.26236737781480185,0.710648614808185,DP-enac,MOLM13
35,0.22757318224740322,0.5685303137532437,0.3250387753725808,0.7210095497953616,0.7017491581989929,0.2069679188782861,0.2624326303301175,0.7101552585988549,DP-emb,MOLM13
36,0.2338686412155015,0.5737202170323189,0.33228583139773193,0.7282742155525239,0.7087517506481122,0.21694395896254925,0.2662167570167484,0.7138452481295783,DeepPromise,MOLM13
37,0.49584323040380046,0.7667584940312213,0.6022358456545257,0.9189073021634271,0.904572392611498,0.5677547750050137,0.6725677212750991,0.953008665119385,deepSRAMP_Single,YTHDF
38,0.17629233511586453,0.681129476584022,0.28009062588501843,0.6689669993791489,0.6701129039235195,0.21255894018291008,0.2274893200156476,0.7379625306286735,DP-oh,YTHDF
39,0.16839421318108752,0.6974288337924701,0.27128633299102556,0.6417450690099814,0.6469913916165593,0.2031226630148324,0.22682621413268775,0.7313113288847999,DP-enac,YTHDF
40,0.18402291534054743,0.6636822773186409,0.28814910794378557,0.6938965566645972,0.6910498767141064,0.22054635815071433,0.23059517597151719,0.7410356188563122,DP-emb,YTHDF
41,0.1779466763180118,0.67722681359045,0.2818381580204452,0.6745785376570037,0.6748280486222261,0.2142974428740683,0.2282469617104278,0.739044933244589,DeepPromise,YTHDF
42,0.2701005025125628,0.8610332398878654,0.4112078033852921,0.6743912349034662,0.6973034094540449,0.36001607020105914,0.4329781789406518,0.8488844079199297,WHISTLE,A549
43,0.275521714608009,0.8482743650965922,0.4159438028843595,0.673394145504243,0.6957305239811478,0.3564685624966399,0.4099947286018954,0.8375473036258057,WHISTLE,CD8T
44,0.33222784662826554,0.7065957183516891,0.45195504195029285,0.7590738291664043,0.751462722997954,0.3550401059893824,0.411530028002705,0.8002724734314577,WHISTLE,HeLa
45,0.27080237741456165,0.854630715123095,0.41128349788434415,0.6886104060913706,0.7083973732010619,0.36335153173699336,0.38128996918246744,0.8409606649195732,WHISTLE,HEK293 Abcam
46,0.2643301104972376,0.5971138845553822,0.36644327429392054,0.7648065352983385,0.7440162467965765,0.26562454170945843,0.29537730195815715,0.7465573055775352,WHISTLE,HEK293 SYSY
47,0.26672484002326935,0.6489738145789101,0.3780663780663781,0.7420532060027285,0.7302958967788075,0.2815413063073941,0.31804235083684645,0.757619625082108,WHISTLE,MOLM13
48,0.1855133775440201,0.7821161725717041,0.29989372025322303,0.648117960877297,0.6605730671864148,0.255902827942913,0.26316234246916814,0.7821852621921928,WHISTLE,YTHDF
